" There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Bank","银行"
"Service Type","服务类型"
"Enabled","启用"
"English","英语"
"Error occured","发生错误"
"Key","加密号"
"New order status","新的订单号状态"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Site code","网站代码"
"Sort order","排序方法"
"Spain","西班牙"
"Test mode","测试模式"
"There was an error occurred during paying process.","在支付的过程中发生了一个错误"
"Title","标题"
"Transaction Description","交易描述"
"Products","担保支付(实物产品)"
"Virtual Products","即时支付(虚拟产品)"
"You will be redirected to Ecpss website when you place an order.","下订单时，会转向E汇通网站。"
"You will be redirected to Ecpss in a few seconds.","您很快将会转向E汇通网站"
"Gateway","接口地址"
"Merchant NO.","商户号"
"MD5 Code","MD5校验码"
"Language","语言"
"Transport","传输协议"
"Order status when payment accepted by Ecpss","E汇通订单接受状态"
"Order status when payment refused by Ecpss","E汇通订单拒绝状态"
"Payment from applicable countries","支付允许国家"
"Currency","货币"
"CosmoCommerce Ecpss Payment","CosmoCommerce E汇通支付网关"
