" There was an error occurred during paying process."," There was an error occurred during paying process."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"
"Customer returned from Yeepay.","Customer returned from Yeepay."
"Customer successfully returned from Yeepay","Customer successfully returned from Yeepay"
"Customer was redirected to Yeepay","Customer was redirected to Yeepay"
"Yeepay Payment", "Yeepay Payment"
"Service Type","Service Type"
"Default Yeepay Interface language","Default Yeepay Interface language"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Error occured","Error occured"
"French","French"
"German","German"
"Groupe CIC","Groupe CIC"
"Italian","Italian"
"Key","Key"
"New order status","New order status"
"OBC","OBC"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Order status when payment accepted by Yeepay", "Order status when payment accepted by Yeepay"
"Order status when payment refused by Yeepay", "Order status when payment refused by Yeepay"
"Payment accepted by Yeepay", "Payment accepted by Yeepay"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment refused by Yeepay", "Payment refused by Yeepay"
"Preference will be given to store language chosen by the user", "Preference will be given to store language chosen by the user"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA key","SHA key"
"Site code","Site code"
"Sort order","Sort order"
"Spain","Spain"
"TPE number","TPE number"
"Test mode","Test mode"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to Yeepay in a few seconds.","You will be redirected to Yeepay in a few seconds."
"You will be redirected to Yeepay website when you place an order.","You will be redirected to Yeepay website when you place an order."
"Products","Products"
"Virtual Products","Virtual Products"
